iter	RMSE
370	45813.48407
371	45811.00404
372	45805.27834
373	45801.4042
374	45800.45866
375	45796.9261
376	45790.36458
377	45777.8474
378	45773.32297
379	45764.57473
380	45760.71322
381	45759.47836
382	45753.82885
383	45748.17872
384	45742.98977
385	45742.35906
386	45735.43345
387	45724.40012
388	45722.53762
389	45718.2906
390	45713.0762
391	45706.62047
392	45700.72023
393	45698.6559
394	45691.87813
395	45686.33861
396	45685.33043
397	45675.65339
398	45672.72366
399	45667.08941
400	45665.89854
401	45664.20832
402	45652.84955
403	45652.06964
404	45650.80912
405	45646.11732
406	45645.77157
407	45636.81351
408	45636.58292
409	45633.91356
410	45633.04894
411	45623.98079
412	45621.97627
413	45615.82679
414	45610.57428
415	45606.77795
416	45604.11045
417	45596.80942
418	45588.54494
419	45586.5912
420	45581.11943
421	45560.52719
422	45558.47694
423	45540.86165
424	45535.45791
425	45533.61774
426	45528.75119
427	45521.33262
428	45514.38109
429	45508.67454
430	45507.56078
431	45501.92834
432	45496.01249
433	45488.95074
434	45484.028
435	45477.69722
436	45464.16565
437	45461.75836
438	45458.98411
439	45458.58313
440	45453.62395
441	45448.31331
442	45443.71876
443	45441.41116
444	45438.96111
445	45433.59953
446	45431.33557
447	45428.74937
448	45425.1347
449	45421.73668
450	45416.68274
451	45407.39873
452	45403.942
453	45402.69318
454	45399.56876
455	45387.94583
456	45379.60684
457	45368.91996
458	45364.5693
459	45359.88989
460	45358.81838
461	45353.87689
462	45345.27433
463	45342.80291
464	45341.07398
465	45339.95981
466	45336.74619
467	45331.1909
468	45323.05761
469	45313.22555
470	45311.75219
471	45309.74067
472	45304.74428
473	45301.03877
474	45291.72218
475	45284.75559
476	45271.50974
477	45268.21626
478	45263.72971
479	45260.96121
480	45259.49426
481	45257.23969
482	45248.90118
483	45248.24054
484	45244.9556
485	45240.57925
486	45225.85056
487	45224.77864
488	45207.29947
489	45200.8703
490	45199.14732
491	45197.81803
492	45195.56981
493	45191.6663
494	45187.38431
495	45174.96743
496	45171.73
497	45169.45064
498	45167.15987
499	45162.81978
500	45157.98767
501	45155.69743
502	45150.28094
503	45147.77304
504	45147.03589
505	45145.61132
506	45145.36011
507	45140.36299
508	45133.53861
509	45132.59341
510	45122.79423
511	45117.10498
512	45109.2459
513	45105.09418
514	45093.5406
515	45092.67427
516	45088.76372
517	45087.65543
518	45085.92809
519	45085.72282
520	45074.00108
521	45068.89238
522	45067.26121
523	45064.69315
524	45058.90828
525	45056.55403
526	45051.16529
527	45049.73982
528	45046.5721
529	45038.58299
530	45038.0606
531	45037.28925
532	45036.21028
533	45034.47647
534	45031.58947
535	45030.87404
536	45030.21084
537	45024.71419
538	45023.93272
539	45022.03512
540	45017.41922
541	45014.49402
542	45006.94749
543	45003.91707
544	45002.55105
545	45002.05926
546	44996.89176
547	44993.01804
548	44990.17563
549	44988.97344
550	44988.56974
551	44985.16665
552	44981.0968
553	44979.7048
554	44975.93033
555	44974.15114
556	44973.68742
557	44972.88028
558	44972.3282
559	44966.19875
560	44964.53441
561	44962.34354
562	44957.90664
563	44954.44461
564	44952.91611
565	44951.475
566	44947.69693
567	44947.17513
568	44946.3688
569	44943.26257
570	44940.07681
571	44937.97089
572	44933.51004
573	44930.82153
574	44930.13524
575	44924.40283
576	44923.91242
577	44917.02381
578	44913.44127
579	44909.44097
580	44906.71807
581	44902.67718
582	44900.36653
583	44898.14471
584	44897.00158
585	44891.83929
586	44886.01431
587	44881.96986
588	44877.21489
589	44875.81767
590	44869.03373
591	44867.92849
592	44865.95168
593	44857.74507
594	44852.30709
595	44844.93253
596	44844.09981
597	44842.85953
598	44841.42525
599	44839.44627
600	44829.78157
601	44828.05078
602	44820.11556
603	44816.67716
604	44814.84157
605	44808.46114
606	44807.91161
607	44806.29093
608	44802.11433
609	44797.02184
610	44791.00589
611	44789.50773
612	44785.95882
613	44784.11417
614	44781.52672
615	44777.44835
616	44773.95642
617	44766.46705
618	44761.72486
619	44759.48683
620	44749.92119
621	44749.06054
622	44748.03531
623	44742.74179
624	44739.74233
625	44731.99612
626	44731.13331
627	44729.03827
628	44722.59835
629	44720.98197
630	44716.13104
631	44715.30908
632	44713.31113
633	44709.15159
634	44708.4806
635	44703.80402
636	44695.80682
637	44690.06815
638	44688.84199
639	44685.60421
640	44681.60949
641	44665.30391
642	44662.6489
643	44657.75487
644	44657.68
645	44656.75631
646	44652.11492
647	44646.11554
648	44643.10268
649	44638.96339
650	44637.93676
651	44636.37771
652	44633.44415
653	44629.35404
654	44628.05104
655	44623.84508
656	44620.80919
657	44619.36743
658	44609.75577
659	44608.77496
660	44604.56997
661	44598.46916
662	44597.60109
663	44594.03234
664	44589.85069
665	44588.39153
666	44586.4187
667	44577.88666
668	44574.3795
669	44572.52537
670	44570.35081
671	44567.95548
672	44566.48251
673	44563.45922
674	44557.05831
675	44553.61195
676	44552.36479
677	44551.42268
678	44548.65055
679	44545.86352
680	44543.29702
681	44539.33001
682	44535.98187
683	44530.89841
684	44526.42003
685	44523.96313
686	44521.49529
687	44519.19303
688	44517.79047
689	44516.59824
690	44516.33761
691	44514.02406
692	44508.60069
693	44506.39253
694	44503.74539
695	44500.66985
696	44498.24561
697	44493.38781
698	44492.4861
699	44491.16095
700	44483.95045
701	44482.6431
702	44470.63757
703	44468.65388
704	44465.12379
705	44464.59872
706	44456.55063
707	44453.89912
708	44451.90246
709	44450.58142
710	44447.05473
711	44435.54533
712	44434.69782
713	44428.42031
714	44425.86636
715	44422.03184
716	44415.89444
717	44414.88957
718	44411.86154
719	44405.57885
720	44404.4936
721	44402.21935
722	44386.61497
723	44383.58644
724	44371.37222
725	44368.31716
726	44366.46317
727	44360.64916
728	44359.19112
729	44356.65088
730	44354.64089
731	44349.13014
732	44344.65993
733	44331.98077
734	44323.77288
735	44319.82416
736	44310.47882
737	44308.03316
738	44305.53046
739	44301.65682
740	44300.94701
741	44299.55254
742	44296.6801
743	44289.91297
744	44288.33786
745	44285.56481
746	44281.90789
747	44276.4396
748	44268.4357
749	44265.41258
750	44264.68342
751	44262.24664
752	44258.08191
753	44256.5875
754	44253.91031
755	44252.419
756	44251.1853
757	44248.7926
758	44241.81138
759	44239.75076
760	44237.19761
761	44222.06745
762	44218.01875
763	44217.0703
764	44214.70363
765	44212.13673
766	44209.15801
767	44205.5456
768	44196.30602
769	44189.28564
770	44184.79186
771	44177.38894
772	44176.32057
773	44171.30004
774	44167.75304
775	44162.93525
776	44157.78696
777	44153.86727
778	44152.48924
779	44149.19967
780	44147.32203
781	44139.5192
782	44134.90201
783	44123.30658
784	44116.29382
785	44115.98571
786	44112.46099
787	44112.42202
788	44110.337
789	44103.34284
790	44098.46544
791	44087.80982
792	44082.97994
793	44081.26857
794	44080.42143
795	44077.96155
796	44076.98029
797	44075.90415
798	44071.13562
799	44070.3244
800	44067.06904
801	44063.47974
802	44057.23503
803	44053.57453
804	44045.16249
805	44041.94563
806	44035.62078
807	44033.51284
808	44033.19996
809	44031.80949
810	44027.98155
811	44027.11131
812	44022.95202
813	44015.84697
814	44013.46675
815	44008.51716
816	44006.66495
817	44003.00361
818	44001.14677
819	43994.98799
820	43994.09693
821	43989.66604
822	43983.7531
823	43981.55302
824	43977.22863
825	43972.99367
826	43969.63157
827	43967.53973
828	43960.83361
829	43960.29065
830	43959.28177
831	43955.3906
832	43951.69175
833	43944.12596
834	43935.05258
835	43931.83677
836	43926.60155
837	43922.14786
838	43920.87338
839	43917.77863
840	43911.60661
841	43909.71178
842	43903.75652
843	43897.37258
844	43892.38453
845	43891.43945
846	43878.0471
847	43875.40831
848	43871.76664
849	43870.56994
850	43866.68434
851	43866.09788
852	43865.34059
853	43862.78273
854	43860.43096
855	43858.73214
856	43855.7135
857	43852.27297
858	43851.37765
859	43848.66795
860	43842.18855
861	43840.65805
862	43839.8817
863	43837.11975
864	43831.23022
865	43823.9457
866	43819.18544
867	43812.62075
868	43811.97719
869	43810.38284
870	43804.72537
871	43801.40819
872	43796.08645
873	43794.58945
874	43793.28283
875	43791.09735
876	43784.59943
877	43782.10643
878	43781.06264
879	43780.76105
880	43779.94098
881	43778.0584
882	43772.16609
883	43767.41996
884	43765.28294
885	43762.8185
886	43761.73838
887	43759.41329
888	43758.54188
889	43754.27258
890	43752.11408
891	43748.54547
892	43743.34682
893	43728.787
894	43728.13563
895	43726.55014
896	43717.8048
897	43711.28618
898	43709.82259
899	43706.38476
900	43704.73606
901	43699.78905
902	43698.69608
903	43692.88914
904	43690.53513
905	43680.72539
906	43675.64187
907	43673.9653
908	43672.6123
909	43669.24822
910	43668.10154
911	43665.22671
912	43663.90868
913	43662.71923
914	43661.31068
915	43658.28057
916	43652.53296
917	43650.12129
918	43645.35548
919	43642.44455
920	43640.26374
921	43638.96513
922	43635.61832
923	43635.1825
924	43632.99492
925	43628.59536
926	43622.95147
927	43620.90541
928	43614.98855
929	43609.5029
930	43596.4918
931	43595.92179
932	43593.89207
933	43591.87856
934	43589.97815
935	43586.93159
936	43586.28467
937	43580.17231
938	43579.441
939	43576.21782
940	43568.63899
941	43568.30581
942	43567.56431
943	43563.96086
944	43554.94929
945	43553.24717
946	43550.50359
947	43546.39779
948	43546.25987
949	43545.34237
950	43544.7988
951	43542.32792
952	43537.25565
953	43530.367
954	43528.34707
955	43526.80137
956	43522.5184
957	43515.57061
958	43512.35334
959	43509.86285
960	43503.21483
961	43499.7579
962	43498.73129
963	43498.13855
964	43492.1076
965	43489.85732
966	43482.98347
967	43481.04265
968	43476.41705
969	43471.79187
970	43469.539
971	43467.97764
972	43462.53571
973	43455.84703
974	43448.06191
975	43446.73321
976	43445.69059
977	43441.89747
978	43436.79265
979	43434.76719
980	43432.37025
981	43429.85876
982	43427.99512
983	43423.77044
984	43422.73579
985	43421.28499
986	43418.73266
987	43416.92143
988	43416.11639
989	43413.12408
990	43411.45758
991	43411.0138
992	43410.04074
993	43408.16748
994	43407.23086
995	43405.58717
996	43405.36861
997	43401.04071
998	43396.97165
999	43394.62825
